objName,objID,objInfoFlag,qualityFlag,raMean,decMean,epochMean,ng,nr,ni,nz,ny,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr
PSO J167.3641-12.6155,92861673641321780,268959744,32,167.36413614,-12.61549129,56709.50100694,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,22.058300018310547,0.31445300579071045,-999.0,-999.0,-999.0,-999.0
PSO J167.3643-12.6151,92861673642832287,268959744,32,167.3642826,-12.61506956,56709.48876157,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,21.626800537109375,0.26843100786209106,-999.0,-999.0,-999.0,-999.0
PSO J167.3653-12.6125,92861673653165464,268959744,32,167.36531838,-12.61246848,55999.40173611,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3655-12.6129,92861673654844889,268959744,32,167.36548159,-12.61290132,56709.4765162,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,23.230100631713867,0.28397899866104126,-999.0,-999.0,-999.0,-999.0
PSO J167.3656-12.6099,92861673656528518,268959744,32,167.36563549,-12.60992643,56059.23576389,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.468000411987305,0.24583199620246887
PSO J167.3657-12.6118,92861673657066227,268959744,32,167.36571356,-12.61178145,55934.57872685,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.127599716186523,0.1964700073003769
PSO J167.3660-12.6108,92861673659997496,268959744,32,167.36600032,-12.61077642,55999.40173611,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,23.30620002746582,0.22782200574874878,-999.0,-999.0,-999.0,-999.0
PSO J167.3664-12.6110,92861673663677390,444915712,53,167.36639301266658,-12.611017819423726,56671.684432092414,1,12,14,8,0,21.561100006103516,0.2119790017604828,21.084999084472656,0.06754899770021439,20.805599212646484,0.05492300167679787,20.328800201416016,0.03999900072813034,-999.0,-999.0
PSO J167.3665-12.6125,92861673664525395,268959744,32,167.36645602,-12.6124798,56709.50100694,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,22.155500411987305,0.24879099428653717,-999.0,-999.0,-999.0,-999.0
PSO J167.3665-12.6120,92861673665215964,268959744,32,167.36652093,-12.61200585,56709.48876157,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,22.726999282836914,0.3456740081310272,-999.0,-999.0,-999.0,-999.0
PSO J167.3668-12.6111,92861673667797010,268959744,32,167.36677656,-12.61113363,56709.4765162,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,21.451400756835938,0.28728601336479187,-999.0,-999.0,-999.0,-999.0
PSO J167.3669-12.6146,92861673668712887,268959744,32,167.36688389,-12.61456974,56721.46991898,1,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3671-12.6110,92861673670987113,268959744,32,167.36709726,-12.61104811,56709.48876157,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,22.486499786376953,0.20336300134658813,-999.0,-999.0,-999.0,-999.0
PSO J167.3677-12.6108,92861673677337438,268959744,32,167.36773648,-12.61077722,56709.50100694,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,24.452600479125977,0.3092620074748993,-999.0,-999.0,-999.0,-999.0
PSO J167.3680-12.6154,92861673680071903,436285440,52,167.36799675,-12.61540957,57001.63881944,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,21.503799438476562,0.15736199915409088,-999.0,-999.0,-999.0,-999.0
PSO J167.3681-12.6125,92861673680535422,268959744,32,167.36806009,-12.61245249,55934.57872685,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.6210994720459,0.310573011636734
PSO J167.3685-12.6098,92861673684588653,268959744,32,167.36846136,-12.60976446,56709.50100694,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,22.199100494384766,0.24316799640655518,-999.0,-999.0,-999.0,-999.0
PSO J167.3691-12.6122,92861673690395724,268959744,32,167.36905156,-12.61218749,55934.56695602,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.88050079345703,0.22040799260139465
PSO J167.3694-12.6127,92861673693435139,268959744,32,167.36935018,-12.61268898,55934.57872685,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.957399368286133,0.26501598954200745
PSO J167.3697-12.6143,92861673697433210,276901888,33,167.36973421,-12.6143205,57001.64277778,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,18.480499267578125,0.013751000165939331,-999.0,-999.0,-999.0,-999.0
PSO J167.3703-12.6155,92861673703411852,268513280,32,167.37032902,-12.6154502,56358.36372685,1,0,0,0,0,18.949800491333008,0.006529000122100115,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3720-12.6135,92861673720044185,268959744,32,167.37201146,-12.61348511,55934.57872685,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.106000900268555,0.20347799360752106
PSO J167.3723-12.6132,92861673723354557,268959744,32,167.37234747,-12.61316093,55934.56695602,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.66360092163086,0.20393699407577515
PSO J167.3727-12.6112,92861673726666977,302067712,36,167.37266432,-12.6111797,56007.36077546,1,0,0,0,0,21.427499771118164,0.17628900706768036,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.3731-12.6146,92861673731212901,436285440,52,167.37310963,-12.61460207,56358.23008102,0,0,1,2,0,-999.0,-999.0,-999.0,-999.0,21.796499252319336,0.15876199305057526,21.24340057373047,0.1827930063009262,-999.0,-999.0
