objName,objID,objInfoFlag,qualityFlag,raMean,decMean,epochMean,ng,nr,ni,nz,ny,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr,dist
PSO J167.4389-12.6627,92801674388835238,444915712,53,167.43890145091504,-12.662683481749768,56306.24754467904,9,14,17,14,2,21.01059913635254,0.0448249988257885,20.276899337768555,0.0337520018219947,19.99340057373047,0.036506999284029,19.90010070800781,0.0625789985060691,17.92970085144043,0.0002090000052703,4.847880194891233
PSO J167.4510-12.6652,92801674510292161,436527104,52,167.45094992112902,-12.665167871512896,56615.70290901013,8,9,12,5,0,21.686899185180664,0.1362040042877197,21.21759986877441,0.0899309962987899,21.272300720214844,0.1012400016188621,20.57099914550781,0.0628350004553794,-999.0,-999.0,5.248758297076526
PSO J167.4554-12.6654,92801674554201878,444915712,53,167.45542603656975,-12.665372567935703,56599.96155625138,5,12,18,11,10,21.6254997253418,0.0912469998002052,20.266700744628903,0.037016998976469,19.77179908752441,0.0310280006378889,19.504100799560547,0.0440090000629425,19.03770065307617,0.0813179984688758,5.3774352914768695
PSO J167.4610-12.6650,92801674610132313,444915712,53,167.46103935471473,-12.66503085920231,56589.71963887223,5,12,18,13,12,21.159900665283203,0.1086229979991912,19.936500549316406,0.0352559983730316,19.445899963378903,0.0464829988777637,19.22929954528809,0.0505639985203743,18.89150047302246,0.1063719987869262,5.52202180816065
PSO J167.4629-12.6644,92801674628533189,444915712,53,167.46285176437863,-12.66443256482578,56633.13237347783,2,12,18,11,4,20.87380027770996,0.2805480062961578,20.504600524902344,0.0226770006120204,20.224199295043945,0.035436000674963,19.88170051574707,0.0494230017066001,19.54829978942871,0.1336649954319,5.547312317895865
PSO J167.4636-12.6665,92801674636220615,436527104,52,167.46363958808416,-12.666486929708343,56551.8029744347,12,12,15,9,1,20.858800888061523,0.0787839964032173,20.379199981689453,0.0434340015053749,20.28510093688965,0.0272049997001886,20.328399658203125,0.0727389976382255,19.96660041809082,0.1543049961328506,5.677116449921992
PSO J167.4648-12.6670,92801674646990019,444915712,53,167.46477055353893,-12.666982780292146,56519.48804545134,3,11,14,12,2,20.929399490356445,0.1178760007023811,20.04700088500977,0.0621769987046718,19.6382999420166,0.0796419978141784,19.473100662231445,0.0497060008347034,19.269500732421875,0.1557680070400238,5.737991952695836
PSO J167.4736-12.6658,92801674735631435,436527104,52,167.47359443450694,-12.665825382626288,56659.578473532085,10,10,17,12,4,21.30940055847168,0.0579379983246326,20.44969940185547,0.0439479984343051,20.045000076293945,0.0342929996550083,19.86160087585449,0.0673179998993873,19.920000076293945,0.0725099965929985,5.977656585228598
PSO J167.4787-12.6608,92801674786587505,503635968,60,167.4786484737849,-12.66076316046667,56558.06774916069,6,9,14,12,12,20.443300247192383,0.0589060001075267,19.21489906311035,0.0103850001469254,18.29910087585449,0.0081529999151825,17.880399703979492,0.008190999738872,17.63330078125,0.0163119994103908,5.92873046293303
PSO J167.7225-12.6725,92791677226323507,436527104,52,167.72253567291628,-12.672503143930316,56727.26216648776,8,15,18,11,7,20.37779998779297,0.018385000526905,19.74209976196289,0.0240599997341632,19.55150032043457,0.0158830005675554,19.45070075988769,0.0427789986133575,19.22319984436035,0.0268949996680021,19.207884151500974
PSO J167.7228-12.6734,92791677228612316,436527104,52,167.7228303911648,-12.673395919589275,56751.69789066221,2,5,11,7,0,21.785400390625,0.1117909997701644,20.84269905090332,0.0348489992320537,20.760099411010746,0.0675060003995895,20.444900512695312,0.0779889971017837,-999.0,-999.0,19.23948763065791
PSO J167.5113-12.4559,93051675114073254,436527104,52,167.51129669451186,-12.455909141395418,56326.10146959498,2,6,8,9,0,21.707599639892575,0.0832369998097419,21.167200088500977,0.0594730004668235,21.397600173950195,0.2274689972400665,20.770299911499023,0.1018719971179962,-999.0,-999.0,9.717785056425058
