id,date,num_x,V_RBT,V_RBT_err,flag_x,R_RBT,R_RBT_err,flag_y,V_JC_PS,V_JC_PS_err,R_JC_PS,R_JC_PS_err,R_JC_RBT_1,V_JC_RBT_1,R_JC_RBT_2,V_JC_RBT_2,R_JC_RBT_3,V_JC_RBT_3
2017-12-19_11,2017-12-19,11,39.281,0.037,OK,38.842,0.033,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.9102646353302,15.40669124987793,17.50179232826382,15.357015429132296,14.09925714285714,26.351638095238116
2017-12-19_12,2017-12-19,12,38.948,0.029,OK,38.57,0.027,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.648970666207887,15.088805646411132,17.22402919412706,15.019498274950394,13.914399999999997,24.714400000000026
2017-12-19_17,2017-12-19,17,37.612,0.012,OK,37.262,0.012,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-19_18,2017-12-19,18,37.892,0.012,OK,37.601,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.680516800909423,14.033576660107428,16.25708277565146,13.982542465274868,13.069685714285704,21.798257142857253
2017-12-19_19,2017-12-19,19,39.294,0.038,OK,38.862,0.036,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.930264635330204,15.419691249877928,17.524064043185877,15.373222556081068,14.12925714285715,26.214971428571342
2017-12-19_20,2017-12-19,20,38.996,0.028,OK,38.642,0.03,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.72097066620789,15.136805646411133,17.304207367846434,15.079043931965984,14.020685714285715,24.24925714285715
2017-12-19_21,2017-12-19,21,37.98,0.052,OK,37.34,0.02,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-19_22,2017-12-19,22,37.793,0.031,OK,37.614,0.013,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.693516800909421,13.934576660107425,16.271559390350795,13.88562709779157,13.242685714285706,19.30459047619054
2017-12-19_23,2017-12-19,23,39.295,0.121,OK,38.797,0.038,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.865264635330199,15.420691249877933,17.45168096968921,15.363799393497551,13.969971428571416,27.62711428571441
2017-12-19_24,2017-12-19,24,38.99,0.093,OK,38.692,0.037,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.770970666207887,15.130805646411133,17.35988665515156,15.08106174933792,14.150685714285709,23.04592380952387
