id,date,V_JC_SNe_1,V_JC_SNe_2,V_JC_SNe_3,R_JC_SNe_1,R_JC_SNe_2,R_JC_SNe_3,V,R,V_err,R_err
2017-12-23_5,2017-12-23,13.947576660107424,13.931691249877929,13.946805646411129,13.485516800909425,13.4742646353302,13.484970666207886,13.946805646411129,13.484970666207886,0.007313501235098146,0.005180396708194429
2017-12-23_9,2017-12-23,13.911576660107428,13.895691249877936,13.910805646411132,13.560516800909426,13.549264635330204,13.559970666207889,13.910805646411132,13.559970666207889,0.007313501235096473,0.0051803967081939795
2017-12-23_13,2017-12-23,13.83857666010743,13.822691249877934,13.837805646411134,13.336516800909422,13.3252646353302,13.335970666207889,13.837805646411134,13.335970666207889,0.007313501235098146,0.005180396708194753
2017-12-23_17,2017-12-23,14.059576660107425,14.04369124987793,14.058805646411132,13.348516800909422,13.3372646353302,13.347970666207884,14.058805646411132,13.347970666207884,0.007313501235098083,0.005180396708193593
2017-12-23_21,2017-12-23,14.369576660107429,14.353691249877931,14.368805646411133,13.349516800909427,13.338264635330203,13.348970666207892,14.368805646411133,13.348970666207892,0.007313501235098983,0.0051803967081952024
2017-12-25_1,2017-12-25,13.895576660107425,13.87969124987793,13.894805646411127,13.32451680090942,13.3132646353302,13.323970666207885,13.894805646411127,13.323970666207885,0.007313501235097759,0.00518039670819353
2017-12-25_5,2017-12-25,13.92057666010743,13.904691249877937,13.919805646411136,13.586516800909422,13.575264635330202,13.585970666207883,13.919805646411136,13.585970666207883,0.0073135012350976965,0.005180396708192756
2017-12-25_9,2017-12-25,13.819576660107424,13.803691249877929,13.818805646411128,13.390516800909424,13.379264635330204,13.389970666207889,13.818805646411128,13.389970666207889,0.007313501235098146,0.00518039670819353
2017-12-25_13,2017-12-25,14.368576660107422,14.352691249877928,14.367805646411128,13.600516800909425,13.589264635330204,13.599970666207888,14.367805646411128,13.599970666207888,0.0073135012350976965,0.0051803967081931425
2017-12-25_17,2017-12-25,14.079576660107428,14.063691249877934,14.078805646411134,13.423516800909423,13.4122646353302,13.422970666207888,14.078805646411134,13.422970666207888,0.0073135012350976965,0.005180396708195203
2017-12-25_21,2017-12-25,14.436576660107429,14.420691249877931,14.435805646411133,13.497516800909422,13.4862646353302,13.496970666207886,14.435805646411133,13.496970666207886,0.007313501235098983,0.005180396708194366
2017-12-27_1,2017-12-27,13.908576660107428,13.892691249877934,13.907805646411134,13.356516800909423,13.3452646353302,13.355970666207886,13.907805646411134,13.355970666207886,0.0073135012350976965,0.0051803967081948165
2017-12-27_5,2017-12-27,13.849576660107424,13.83369124987793,13.84880564641113,13.38551680090942,13.3742646353302,13.384970666207884,13.84880564641113,13.384970666207884,0.0073135012350976965,0.00518039670819353
2017-12-27_9,2017-12-27,13.925576660107424,13.909691249877929,13.92480564641113,13.414516800909425,13.403264635330205,13.413970666207888,13.92480564641113,13.413970666207888,0.0073135012350985336,0.0051803967081931425
2017-12-27_13,2017-12-27,13.889576660107425,13.873691249877927,13.888805646411129,13.38251680090942,13.3712646353302,13.381970666207884,13.888805646411129,13.381970666207884,0.007313501235098983,0.00518039670819353
2017-12-27_17,2017-12-27,14.135576660107423,14.119691249877931,14.134805646411133,13.411516800909428,13.4002646353302,13.410970666207888,14.134805646411133,13.410970666207888,0.007313501235097634,0.005180396708195715
2017-12-29_1,2017-12-29,13.974576660107424,13.958691249877928,13.97380564641113,13.520516800909428,13.509264635330204,13.51997066620789,13.97380564641113,13.51997066620789,0.0073135012350985336,0.005180396708194429
2017-12-29_5,2017-12-29,13.981576660107429,13.965691249877937,13.980805646411136,13.599516800909427,13.588264635330203,13.598970666207892,13.980805646411136,13.598970666207892,0.007313501235097247,0.0051803967081952024
2017-12-29_9,2017-12-29,13.941576660107422,13.925691249877929,13.940805646411128,13.404516800909429,13.393264635330208,13.403970666207892,13.940805646411128,13.403970666207892,0.0073135012350976965,0.0051803967081931425
2017-12-29_13,2017-12-29,13.986576660107424,13.97069124987793,13.985805646411128,13.419516800909427,13.408264635330204,13.41897066620789,13.985805646411128,13.41897066620789,0.00731350123509731,0.005180396708194816
2017-12-29_17,2017-12-29,14.051576660107422,14.035691249877928,14.050805646411128,13.37651680090942,13.3652646353302,13.375970666207884,14.050805646411128,13.375970666207884,0.0073135012350976965,0.005180396708192693
