    HJD      Phase   Vdmag
52056.79090 0.49221  0.011
52056.79194 0.49240  0.009
52056.79297 0.49258  0.017
52056.79401 0.49277  0.001
52056.79506 0.49296  0.009
52056.79609 0.49315 -0.024
52056.79712 0.49334  0.008
52056.79815 0.49352  0.009
52056.79918 0.49371 -0.001
52056.80023 0.49390 -0.013
52056.80125 0.49409 -0.004
52056.80229 0.49428 -0.031
52056.80333 0.49446  0.007
52056.80436 0.49465  0.007
52056.80540 0.49484  0.015
52056.80643 0.49503 -0.001
52056.80957 0.49560 -0.003
52056.81060 0.49579 -0.009
52056.81163 0.49597 -0.017
52056.81267 0.49616 -0.004
52056.81370 0.49635 -0.025
52056.81476 0.49654 -0.008
52056.81579 0.49673  0.018
52056.81683 0.49692  0.007
52056.81785 0.49710  0.014
52056.81888 0.49729  0.001
52056.81991 0.49748  0.012
52056.82094 0.49766  0.000
52056.82198 0.49785  0.022
52056.82301 0.49804 -0.026
52056.82405 0.49823  0.004
52056.82508 0.49842  0.003
52056.82612 0.49860  0.004
52056.82715 0.49879  0.011
52056.82818 0.49898  0.012
52056.82921 0.49917  0.002
52056.83025 0.49935  0.005
52056.83128 0.49954  0.003
52056.83233 0.49973  0.000
52056.83334 0.49992  0.010
52056.83439 0.50011  0.023
52056.83543 0.50030  0.008
52056.83646 0.50048  0.007
52056.83750 0.50067  0.001
52056.83852 0.50086  0.003
52056.83955 0.50104  0.007
52056.84058 0.50123 -0.006
52056.84161 0.50142  0.002
52056.84264 0.50160  0.004
52056.84368 0.50179  0.009
52056.84471 0.50198  0.002
52056.84574 0.50217  0.007
52056.84677 0.50236 -0.003
52056.84781 0.50254  0.009
52056.84884 0.50273  0.009
52056.84987 0.50292  0.007
52056.85091 0.50311 -0.007
52056.85194 0.50329 -0.004
52056.85299 0.50348  0.010
52056.85402 0.50367 -0.004
52056.85506 0.50386 -0.013
52056.85610 0.50405 -0.002
52056.85714 0.50424 -0.010
52056.85816 0.50442  0.007
52056.85919 0.50461 -0.011
52056.86025 0.50480  0.003
52056.86129 0.50499  0.005
52056.86233 0.50518  0.008
52056.86336 0.50537 -0.006
52056.86439 0.50556  0.004
52056.86542 0.50574  0.013
52056.86645 0.50593 -0.004
52056.86749 0.50612 -0.002
52056.86852 0.50631  0.008
52056.86956 0.50649  0.003
52056.87059 0.50668 -0.016
52056.87162 0.50687 -0.016
52056.87265 0.50706 -0.007
52056.87368 0.50724 -0.013
52056.87471 0.50743 -0.021
52056.87575 0.50762 -0.013
52056.87679 0.50781 -0.018
52056.87783 0.50800 -0.017
52056.87887 0.50819 -0.025
52056.87990 0.50837 -0.036
52056.88094 0.50856 -0.012
52056.88197 0.50875 -0.030
52056.88301 0.50894 -0.042
52056.88404 0.50912 -0.031
52056.88507 0.50931 -0.043
52056.88610 0.50950 -0.044
52056.88714 0.50969 -0.045
52056.88820 0.50988 -0.050
52056.88923 0.51007 -0.049
52056.89027 0.51026 -0.056
52056.89131 0.51045 -0.058
52056.89236 0.51064 -0.062
52056.89339 0.51082 -0.069
52056.89442 0.51101 -0.054
52056.89545 0.51120 -0.070
52056.89648 0.51138 -0.081
52056.89858 0.51177 -0.085
52056.89961 0.51195 -0.083
52056.90065 0.51214 -0.090
52056.90168 0.51233 -0.097
52056.90272 0.51252 -0.102
52056.90376 0.51271 -0.104
52056.90479 0.51289 -0.103
52056.90584 0.51308 -0.105
52056.90687 0.51327 -0.105
52056.90791 0.51346 -0.106
52056.90894 0.51365 -0.105
52056.90998 0.51384 -0.121
52056.91101 0.51402 -0.118
52056.91204 0.51421 -0.128
52056.91308 0.51440 -0.132
52056.91410 0.51458 -0.131
52056.91514 0.51477 -0.134
52056.91617 0.51496 -0.140
52056.91721 0.51515 -0.131
52056.91825 0.51534 -0.145
52056.91928 0.51553 -0.153
52056.92032 0.51571 -0.154
52056.92136 0.51590 -0.149
52056.92239 0.51609 -0.158
52056.92343 0.51628 -0.155
52056.92446 0.51647 -0.159
52071.87454 0.23196 -0.358
52071.87557 0.23215 -0.351
